id_location,id_country,id_state,ds_city,latitude,longitude,division,regional
LOTX00474,US,TX,Austin,29.924724,-96.729571,South/Southeast,Southeast
LOIL00475,US,IL,Springfield,41.139196,-88.940805,Central/Northeast,Great Lakes
LOIL00476,US,IL,Rockford,40.793611,-89.206403,Central/Northeast,Great Lakes
LOMO00487,US,MO,Kansas City,38.23485,-91.780294,Central/Northeast,Midwest
LOMO00488,US,MO,St. Louis,38.560669,-91.875156,Central/Northeast,Midwest
LOIL00489,US,IL,Joliet,40.712351,-88.718054,Central/Northeast,Great Lakes
LOMO00500,US,MO,Springfield,38.699466,-92.172597,Central/Northeast,Midwest
LOMO00501,US,MO,Columbia,38.309095,-92.189957,Central/Northeast,Midwest
LOTN00503,US,TN,Nashville,35.882545,-85.985146,West,Tennessee Valley
LOTN00504,US,TN,Memphis,35.959167,-86.125263,West,Tennessee Valley
LOTN00505,US,TN,Knoxville,36.067112,-86.216304,West,Tennessee Valley
LOCA00507,US,CA,Sacramento,35.875287,-119.080183,Central/Northeast,Greater LA
LOCA00508,US,CA,Fresno,35.973642,-118.828894,Central/Northeast,Greater LA
LOTN00513,US,TN,Chattanooga,35.819804,-85.991459,West,Tennessee Valley
LONC00517,US,NC,Charlotte,35.555449,-79.27213,West,Carolinas Interior
LONC00518,US,NC,Raleigh,35.564527,-79.197686,West,Carolinas Interior
LONC00519,US,NC,Greensboro,35.239031,-78.730669,West,Carolinas Interior
LONC00520,US,NC,Durham,35.779379,-78.814962,West,Carolinas Interior
LONC00521,US,NC,Winston-Salem,35.382768,-79.241397,West,Carolinas Interior
LOCA00522,US,CA,Bakersfield,36.11054,-119.035909,Central/Northeast,Central Valley
LOCA00523,US,CA,Stockton,35.773223,-119.002894,Central/Northeast,Central Valley
LOCA00524,US,CA,Modesto,35.720633,-118.754408,Central/Northeast,Central Valley
LOCA00525,US,CA,Riverside,35.855268,-118.902487,Central/Northeast,Central Valley
LOCA00526,US,CA,San Bernardino,35.887027,-118.987959,Central/Northeast,Central Valley
LOCA00527,US,CA,Fontana,36.028026,-119.189087,Central/Northeast,Central Valley
LOCA00528,US,CA,Moreno Valley,36.281751,-118.83492,Central/Northeast,Bay Area
LOTN00534,US,TN,Clarksville,36.263699,-85.763104,West,Nashville Metro
LOTN00535,US,TN,Murfreesboro,36.05874,-85.746875,West,Nashville Metro
LOTN00536,US,TN,Franklin,35.753096,-86.18241,West,Nashville Metro
LOTN00537,US,TN,Johnson City,35.727136,-86.104802,West,Nashville Metro
LOTN00538,US,TN,Bartlett,35.933206,-86.137191,West,Nashville Metro
LOTN00540,US,TN,Hendersonville,36.197243,-86.085948,West,Nashville Metro
LOTN00541,US,TN,Kingsport,35.868561,-85.974382,West,Nashville Metro
LOCA00548,US,CA,Oxnard,35.784555,-118.818682,Central/Northeast,Bay Area
LOCA00549,US,CA,Pomona,35.74473,-118.707868,Central/Northeast,Bay Area
LOCA00550,US,CA,Escondido,36.163347,-119.180771,Central/Northeast,Bay Area
